state,lon,lat
Alabama,-76.999513,38.843065
Alabama,-76.978685,38.84781
Alabama,-76.978022,38.848543
Alabama,-76.97746,38.849328
Alabama,-76.976719,38.850015
Alabama,-76.938242,38.872463
Alabama,-76.93743,38.873079
Alabama,-76.936983,38.873906
Alabama,-76.936784,38.874792
Alabama,-76.936858,38.875689
Alabama,-76.937183,38.876551
Alabama,-76.937712,38.877351
Alabama,-76.938239,38.878153
Alabama,-76.972631,38.851227
Alabama,-76.971565,38.851549
Alabama,-76.970659,38.852104
Alabama,-76.970011,38.852824
Alabama,-76.973011,38.851186
Alabama,-76.969461,38.857415
Alabama,-76.968824,38.858165
Alabama,-76.969937,38.856723
Alabama,-76.969589,38.857228
Alabama,-76.950768,38.866005
Alabama,-76.950084,38.866729
Alabama,-76.949427,38.867469
Alabama,-76.948756,38.868201
Alabama,-76.948072,38.868925
Alabama,-76.938787,38.871941
Alabama,-76.967424,38.859572
Alabama,-76.939555,38.883189
Alabama,-76.939374,38.882299
Alabama,-76.939266,38.881405
Alabama,-76.939268,38.880504
Alabama,-76.939128,38.879613
Alabama,-76.938664,38.878792
Alabama,-76.958525,38.861999
Alabama,-76.957427,38.862268
Alabama,-76.967015,38.859937
Alabama,-76.965825,38.860381
Alabama,-76.968195,38.858906
Alabama,-76.973702,38.8511
Alabama,-76.951324,38.865594
Alabama,-76.963846,38.861071
Alabama,-76.966899,38.85988
Alabama,-76.965225,38.860589
Alabama,-76.966307,38.860107
Alabama,-76.966367,38.860187
Alabama,-76.967799,38.859359
Alabama,-76.970014,38.857017
Alabama,-76.988519,38.84465
Alabama,-76.987411,38.844893
Alabama,-76.995913,38.843408
Alabama,-76.997042,38.843229
Alabama,-76.989675,38.844476
Alabama,-76.999013,38.843083
Alabama,-76.994704,38.843606
Alabama,-76.994226,38.843688
Alabama,-76.993101,38.84388
Alabama,-76.991975,38.844073
Alabama,-76.951706,38.865438
Alabama,-76.959002,38.861929
Alabama,-76.959582,38.861875
Alabama,-76.965322,38.860555
Alabama,-76.989012,38.844567
Alabama,-76.9571,38.862412
Alabama,-76.956405,38.863119
Alabama,-76.955779,38.863872
Alabama,-76.954807,38.864344
Alabama,-76.953756,38.864713
Alabama,-76.952705,38.865083
Alabama,-76.997676,38.843146
Alabama,-76.998826,38.843092
Alabama,-76.952216,38.865256
Alabama,-76.943521,38.870773
Alabama,-76.942405,38.870997
Alabama,-76.941288,38.87122
Alabama,-76.991658,38.844127
Alabama,-76.986472,38.845173
Alabama,-76.985378,38.845455
Alabama,-76.984292,38.845755
Alabama,-76.96577,38.860294
Alabama,-76.96998,38.853043
Alabama,-76.969977,38.853943
Alabama,-76.969976,38.854844
Alabama,-76.96997,38.855745
